starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 24 23:44:03 2015	1422164643	0	494	495	464
Sat Jan 24 23:44:03 2015	1422164643	0	571	571	562
Sat Jan 24 23:44:01 2015	1422164641	0	591	591	575
Sat Jan 24 23:44:03 2015	1422164643	0	602	602	601
Sat Jan 24 23:44:02 2015	1422164642	0	650	651	640
Sat Jan 24 23:44:02 2015	1422164642	0	682	682	679
Sat Jan 24 23:43:59 2015	1422164639	0	685	686	677
Sat Jan 24 23:44:03 2015	1422164643	0	696	696	695
Sat Jan 24 23:44:02 2015	1422164642	0	711	711	661
Sat Jan 24 23:44:03 2015	1422164643	0	732	732	719
Sat Jan 24 23:43:56 2015	1422164636	0	758	758	725
Sat Jan 24 23:44:03 2015	1422164643	0	762	762	757
Sat Jan 24 23:44:03 2015	1422164643	0	769	769	750
Sat Jan 24 23:44:02 2015	1422164642	0	808	808	778
Sat Jan 24 23:44:03 2015	1422164643	0	829	829	820
Sat Jan 24 23:44:03 2015	1422164643	0	840	840	837
Sat Jan 24 23:43:59 2015	1422164639	0	841	841	811
Sat Jan 24 23:44:03 2015	1422164643	0	843	843	788
Sat Jan 24 23:43:52 2015	1422164632	0	857	857	839
Sat Jan 24 23:43:55 2015	1422164635	0	864	864	786
Sat Jan 24 23:43:43 2015	1422164623	0	867	868	777
Sat Jan 24 23:44:01 2015	1422164641	0	887	887	852
Sat Jan 24 23:43:48 2015	1422164628	0	888	888	749
Sat Jan 24 23:43:54 2015	1422164634	0	888	888	729
Sat Jan 24 23:44:02 2015	1422164642	1	903	904	848
Sat Jan 24 23:43:51 2015	1422164631	0	907	908	877
Sat Jan 24 23:43:55 2015	1422164635	0	909	909	900
Sat Jan 24 23:43:58 2015	1422164638	0	910	910	903
Sat Jan 24 23:44:01 2015	1422164641	0	925	925	843
Sat Jan 24 23:43:53 2015	1422164633	0	933	933	919
Sat Jan 24 23:43:42 2015	1422164622	1	942	943	902
Sat Jan 24 23:43:58 2015	1422164638	1	942	943	904
Sat Jan 24 23:43:54 2015	1422164634	0	944	944	918
Sat Jan 24 23:44:02 2015	1422164642	0	956	956	952
Sat Jan 24 23:43:58 2015	1422164638	0	961	961	945
Sat Jan 24 23:43:51 2015	1422164631	2	981	983	954
